Département;Département commune;Libellé de commune;Arrondissement;Canton ville;Zone d'emploi;Unité urbaine;Population 2010;Hypermarché;Supermarché;Grande surface de bricolage;Supérette;Epicerie;Boulangerie;Boucherie charcuterie;Produits surgelés;Poissonnerie;Librairie papeterie journaux;Magasin de vêtements;Magasin d'équipements du foyer;Magasin de chaussures;Magasin d'électroménager et de mat. audio-vidéo;Magasin de meubles;Magasin d'articles de sports et de loisirs;Magasin de revêtements murs et sols;Droguerie quincaillerie bricolage;Parfumerie;Horlogerie Bijouterie;Fleuriste;Magasin d'optique;Station service;geo_point_2d;geo_shape
91;91425;Montlhéry;913;9120;1116;00851;6840;0;1;1;1;4;3;2;1;0;3;3;3;1;1;2;1;0;3;1;1;2;2;0;48.6422562554, 2.26812085232;"{""type"": ""Polygon"", ""coordinates"": [[[2.281575738855799, 48.627005953057264], [2.267985969975731, 48.63717790187016], [2.252930406487889, 48.63935126296116], [2.248510890675266, 48.645602177991684], [2.257880670657986, 48.65014952436092], [2.273006686282875, 48.651906873068704], [2.281661427327475, 48.643503857811424], [2.281575738855799, 48.627005953057264]]]}"
91;91538;Saint-Aubin;913;9103;1116;00851;690;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;48.7149626666, 2.1395315453;"{""type"": ""Polygon"", ""coordinates"": [[[2.155101500254648, 48.71806161892654], [2.152152846292152, 48.7079394754237], [2.142027347229837, 48.706301971705415], [2.127386015320759, 48.70982073351298], [2.123300411404308, 48.715979271458316], [2.126616073810309, 48.72173330453653], [2.143858238978393, 48.72312651480234], [2.155101500254648, 48.71806161892654]]]}"
91;91666;Villejust;913;9135;1116;00851;2247;0;0;1;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;48.6777382383, 2.22294283132;"{""type"": ""Polygon"", ""coordinates"": [[[2.208440230988943, 48.66614869176663], [2.19545645913776, 48.668886247328764], [2.208911635372384, 48.67717982546011], [2.204715333861176, 48.685166492274064], [2.223873285411332, 48.68494191366196], [2.235521644756692, 48.69009031382648], [2.241772918302237, 48.685290937382355], [2.245486451736617, 48.67365695883158], [2.235384373825148, 48.67346666805832], [2.228700675400385, 48.66896205077116], [2.214580463685917, 48.671433464466574], [2.208440230988943, 48.66614869176663]]]}"
91;91122;Bures-sur-Yvette;913;9121;1116;00851;9535;0;1;0;1;1;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;48.6929979919, 2.15838686116;"{""type"": ""Polygon"", ""coordinates"": [[[2.161288984972471, 48.67556803747717], [2.153378907232919, 48.67839956933676], [2.150231104275433, 48.68403509881167], [2.141560081331339, 48.68593392205398], [2.145658180144769, 48.687879301747515], [2.145298554815942, 48.697411452011195], [2.160814846228304, 48.705958876805674], [2.170751870951656, 48.706658005011704], [2.175163690695225, 48.6957867419333], [2.165981212247245, 48.69476042493666], [2.161288984972471, 48.67556803747717]]]}"
91;91477;Palaiseau;913;9122;1116;00851;30285;0;2;0;0;8;9;9;0;1;6;13;4;4;4;1;0;0;4;1;1;5;6;0;48.7146765876, 2.22881488083;"{""type"": ""Polygon"", ""coordinates"": [[[2.259350145073967, 48.70649437017034], [2.245001965969263, 48.707213962773125], [2.23453546376291, 48.70084188840207], [2.209710850465963, 48.70158848984277], [2.192794946986926, 48.71198122032623], [2.193479634091989, 48.71869596677259], [2.203462249301239, 48.72104768480696], [2.212902148744488, 48.72880078675311], [2.220793867963497, 48.725668455355226], [2.235449123822614, 48.727562170130774], [2.250559875712411, 48.726209873815364], [2.266836157460963, 48.71827873915958], [2.259350145073967, 48.70649437017034]]]}"
91;91044;Ballainvilliers;913;9135;1116;00851;3795;0;1;3;1;0;1;0;0;0;2;1;0;1;0;0;1;1;0;0;0;1;0;2;48.6713240802, 2.28913874502;"{""type"": ""Polygon"", ""coordinates"": [[[2.291325367895718, 48.65758521237107], [2.276122658583966, 48.66022836796183], [2.277011555011158, 48.67057810806104], [2.28612861475477, 48.686185361042405], [2.305157018848814, 48.67831925093628], [2.30007159073682, 48.66959134757039], [2.291325367895718, 48.65758521237107]]]}"
91;91136;Champlan;913;9135;1116;00851;2525;0;0;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0;2;0;1;48.7083599746, 2.27815398132;"{""type"": ""Polygon"", ""coordinates"": [[[2.284892042775739, 48.69912156659739], [2.268193302148986, 48.70387749032038], [2.259350145073967, 48.70649437017034], [2.266836157460963, 48.71827873915958], [2.293929238042677, 48.71212785468337], [2.293806596796809, 48.70511123471632], [2.292397752353433, 48.69975998439519], [2.284892042775739, 48.69912156659739]]]}"
91;91587;Saulx-les-Chartreux;913;9135;1116;00851;5048;0;0;0;0;4;1;3;0;0;0;0;0;0;1;0;1;0;0;0;0;3;1;0;48.6850264714, 2.26634749221;"{""type"": ""Polygon"", ""coordinates"": [[[2.264980876618781, 48.670432580241474], [2.245486451736617, 48.67365695883158], [2.241772918302237, 48.685290937382355], [2.265725234399633, 48.69770086927906], [2.268193302148986, 48.70387749032038], [2.284892042775739, 48.69912156659739], [2.28612861475477, 48.686185361042405], [2.277011555011158, 48.67057810806104], [2.264980876618781, 48.670432580241474]]]}"
91;91635;Vauhallan;913;9103;1116;00851;1985;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.7307999031, 2.19905265979;"{""type"": ""Polygon"", ""coordinates"": [[[2.203462249301239, 48.72104768480696], [2.184788032923727, 48.726876094085654], [2.183186252260459, 48.73019318297988], [2.190237830067613, 48.73928984710274], [2.204036107205519, 48.73691812290867], [2.213676941384516, 48.73784549864511], [2.212902148744488, 48.72880078675311], [2.203462249301239, 48.72104768480696]]]}"
91;91665;La Ville-du-Bois;913;9120;1116;00851;7138;1;1;1;0;0;2;3;0;0;2;27;3;5;2;4;3;0;2;3;7;2;5;1;48.6610194975, 2.26503430984;"{""type"": ""Polygon"", ""coordinates"": [[[2.257880670657986, 48.65014952436092], [2.250865228589127, 48.66604506239389], [2.264980876618781, 48.670432580241474], [2.277011555011158, 48.67057810806104], [2.276122658583966, 48.66022836796183], [2.273006686282875, 48.651906873068704], [2.257880670657986, 48.65014952436092]]]}"
91;91679;Villiers-le-Bâcle;913;9103;1116;00851;1204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;48.7288080861, 2.1221470247;"{""type"": ""Polygon"", ""coordinates"": [[[2.110332692821421, 48.714381141190366], [2.107693288719874, 48.7177075324668], [2.106156447293099, 48.71934209271171], [2.110479736423849, 48.724906226346405], [2.101167253189999, 48.732787859400496], [2.104654423752266, 48.73797705311927], [2.117747165025385, 48.74136659341176], [2.134979897435428, 48.737139276053675], [2.145909728032609, 48.72986030377591], [2.143858238978393, 48.72312651480234], [2.126616073810309, 48.72173330453653], [2.123300411404308, 48.715979271458316], [2.110332692821421, 48.714381141190366]]]}"
91;91689;Wissous;913;9128;1118;00851;5805;0;1;0;0;3;3;2;0;0;0;2;0;0;0;0;3;0;0;1;0;1;2;0;48.7294509959, 2.32903292215;"{""type"": ""Polygon"", ""coordinates"": [[[2.344130876678267, 48.716938673758136], [2.334648392431999, 48.71011319990284], [2.325042593640293, 48.71092273556821], [2.324102230699077, 48.72057766744396], [2.301738756650032, 48.71967536970686], [2.303837317833271, 48.72949174787578], [2.313477126299383, 48.73051899537895], [2.320718017523032, 48.74875623508063], [2.323849274495557, 48.750626851680614], [2.330750483500388, 48.74810233118569], [2.340442438917233, 48.74100570382043], [2.353948215118505, 48.738660051053486], [2.345661895503521, 48.731446318158376], [2.349134352054041, 48.72229087145896], [2.344130876678267, 48.716938673758136]]]}"
91;91692;Les Ulis;913;9143;1116;00851;24792;1;3;2;0;2;6;3;0;0;3;29;0;6;3;2;2;2;0;2;5;3;5;3;48.680321482, 2.18518955;"{""type"": ""Polygon"", ""coordinates"": [[[2.191269659016876, 48.66826423744233], [2.168969351985356, 48.67602659881044], [2.164094990996519, 48.67506602572145], [2.161288984972471, 48.67556803747717], [2.165981212247245, 48.69476042493666], [2.174850051799166, 48.690693410925824], [2.181827592750015, 48.678913003512584], [2.190173243033867, 48.68732637387467], [2.204707084431246, 48.69106715032146], [2.204715333861176, 48.685166492274064], [2.208911635372384, 48.67717982546011], [2.19545645913776, 48.668886247328764], [2.191269659016876, 48.66826423744233]]]}"
91;91161;Chilly-Mazarin;913;9128;1116;00851;18484;0;6;1;0;2;9;4;1;0;5;8;3;1;1;1;0;0;1;3;2;5;3;6;48.7077663127, 2.3111122334;"{""type"": ""Polygon"", ""coordinates"": [[[2.316143346863166, 48.69199204055646], [2.314140344624053, 48.68932705722793], [2.309906996699242, 48.69097568070157], [2.302807251874709, 48.70276257327464], [2.293806596796809, 48.70511123471632], [2.293929238042677, 48.71212785468337], [2.301738756650032, 48.71967536970686], [2.324102230699077, 48.72057766744396], [2.325042593640293, 48.71092273556821], [2.32194027417233, 48.69757493824626], [2.316143346863166, 48.69199204055646]]]}"
91;91312;Igny;913;9122;1116;00851;10336;0;0;0;2;1;3;3;0;0;1;1;2;1;2;0;0;0;0;0;0;4;2;1;48.7362250613, 2.22442021749;"{""type"": ""Polygon"", ""coordinates"": [[[2.235449123822614, 48.727562170130774], [2.220793867963497, 48.725668455355226], [2.212902148744488, 48.72880078675311], [2.213676941384516, 48.73784549864511], [2.204036107205519, 48.73691812290867], [2.226414985434264, 48.75003536744732], [2.238024349288764, 48.735565859837095], [2.240999779632666, 48.732931410460424], [2.235449123822614, 48.727562170130774]]]}"
91;91661;Villebon-sur-Yvette;913;9135;1116;00851;9625;1;3;0;0;2;7;0;1;0;3;13;3;4;4;6;4;1;2;2;4;2;5;1;48.6956774396, 2.23505155118;"{""type"": ""Polygon"", ""coordinates"": [[[2.241772918302237, 48.685290937382355], [2.235521644756692, 48.69009031382648], [2.223873285411332, 48.68494191366196], [2.204715333861176, 48.685166492274064], [2.204707084431246, 48.69106715032146], [2.209710850465963, 48.70158848984277], [2.23453546376291, 48.70084188840207], [2.245001965969263, 48.707213962773125], [2.259350145073967, 48.70649437017034], [2.268193302148986, 48.70387749032038], [2.265725234399633, 48.69770086927906], [2.241772918302237, 48.685290937382355]]]}"
91;91339;Linas;913;9120;1116;00851;6479;0;0;0;1;0;3;1;0;1;0;0;0;0;1;1;1;0;2;0;0;1;0;0;48.6255061941, 2.25135348658;"{""type"": ""Polygon"", ""coordinates"": [[[2.236369123525524, 48.61253885623989], [2.223949650794124, 48.62213772219798], [2.225495992754842, 48.62858852194573], [2.24345198980755, 48.633093664318054], [2.252930406487889, 48.63935126296116], [2.267985969975731, 48.63717790187016], [2.281575738855799, 48.627005953057264], [2.276027550834053, 48.621970922976814], [2.263109576289468, 48.62203562509767], [2.257737304354837, 48.61336662314746], [2.236369123525524, 48.61253885623989]]]}"
91;91345;Longjumeau;913;9114;1116;00851;21361;0;3;2;2;6;11;9;0;0;4;11;3;1;2;0;2;0;0;1;2;6;7;1;48.6900488045, 2.30247056719;"{""type"": ""Polygon"", ""coordinates"": [[[2.305157018848814, 48.67831925093628], [2.28612861475477, 48.686185361042405], [2.284892042775739, 48.69912156659739], [2.292397752353433, 48.69975998439519], [2.293806596796809, 48.70511123471632], [2.302807251874709, 48.70276257327464], [2.309906996699242, 48.69097568070157], [2.314140344624053, 48.68932705722793], [2.316143346863166, 48.69199204055646], [2.32817015011662, 48.687544980779045], [2.326403819458225, 48.68650960209649], [2.319514014465477, 48.68146032810097], [2.305157018848814, 48.67831925093628]]]}"
91;91645;Verrières-le-Buisson;913;9103;1116;00851;15418;0;3;0;0;3;6;3;1;1;5;5;2;5;1;1;1;0;0;2;1;4;3;1;48.75044312, 2.25171297214;"{""type"": ""Polygon"", ""coordinates"": [[[2.238024349288764, 48.735565859837095], [2.226414985434264, 48.75003536744732], [2.22450256558849, 48.75882853410981], [2.232859032169924, 48.76598806763034], [2.250043759055985, 48.761213267519565], [2.269288614654887, 48.76063999654954], [2.276145972515501, 48.75666127305422], [2.283691112862691, 48.748081131389654], [2.274517407535147, 48.74072222671912], [2.238024349288764, 48.735565859837095]]]}"
91;91275;Gometz-le-Châtel;913;9113;1116;00851;2588;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;1;1;48.6745834658, 2.142891374;"{""type"": ""Polygon"", ""coordinates"": [[[2.155439056839545, 48.65933537369006], [2.138656349758428, 48.66510716928048], [2.121591817423227, 48.68015755615423], [2.121943243236453, 48.683497340448085], [2.141560081331339, 48.68593392205398], [2.150231104275433, 48.68403509881167], [2.153378907232919, 48.67839956933676], [2.161288984972471, 48.67556803747717], [2.164094990996519, 48.67506602572145], [2.155421256844289, 48.666324548661464], [2.155439056839545, 48.65933537369006]]]}"
91;91458;Nozay;913;9120;1116;00851;4731;0;0;0;1;2;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;48.6606560132, 2.23814387316;"{""type"": ""Polygon"", ""coordinates"": [[[2.248510890675266, 48.645602177991684], [2.238271067061231, 48.6449884462239], [2.226566634862893, 48.651641506652176], [2.221783840675734, 48.66103735068983], [2.208440230988943, 48.66614869176663], [2.214580463685917, 48.671433464466574], [2.228700675400385, 48.66896205077116], [2.235384373825148, 48.67346666805832], [2.245486451736617, 48.67365695883158], [2.264980876618781, 48.670432580241474], [2.250865228589127, 48.66604506239389], [2.257880670657986, 48.65014952436092], [2.248510890675266, 48.645602177991684]]]}"
91;91216;Épinay-sur-Orge;913;9114;1116;00851;10104;1;0;1;0;4;4;3;1;0;4;6;1;2;0;2;1;0;0;2;1;3;3;2;48.672618112, 2.31834586071;"{""type"": ""Polygon"", ""coordinates"": [[[2.309444824262695, 48.657052920054404], [2.30007159073682, 48.66959134757039], [2.305157018848814, 48.67831925093628], [2.319514014465477, 48.68146032810097], [2.326403819458225, 48.68650960209649], [2.335290940887073, 48.677762459342595], [2.338125432437762, 48.66737105034268], [2.325093494433438, 48.66909698440028], [2.318728500486487, 48.665642670298666], [2.309444824262695, 48.657052920054404]]]}"
91;91363;Marcoussis;913;9120;1116;00851;7909;0;1;0;1;0;2;3;0;0;0;0;0;1;0;0;2;0;0;0;0;2;2;3;48.6463321888, 2.20621393661;"{""type"": ""Polygon"", ""coordinates"": [[[2.202972626420991, 48.6283859701903], [2.202022129426071, 48.62842458361314], [2.187472243644117, 48.637339639321915], [2.181789640372368, 48.63185851844056], [2.170938273949708, 48.63922270764312], [2.165598362647238, 48.648945403830275], [2.177108090322008, 48.65599679137556], [2.191269659016876, 48.66826423744233], [2.19545645913776, 48.668886247328764], [2.208440230988943, 48.66614869176663], [2.221783840675734, 48.66103735068983], [2.226566634862893, 48.651641506652176], [2.238271067061231, 48.6449884462239], [2.248510890675266, 48.645602177991684], [2.252930406487889, 48.63935126296116], [2.24345198980755, 48.633093664318054], [2.225495992754842, 48.62858852194573], [2.2062332742704, 48.63081851818379], [2.202972626420991, 48.6283859701903]]]}"
91;91377;Massy;913;9198;1116;00851;42258;2;8;1;0;9;17;12;1;1;8;40;3;4;4;2;2;1;0;6;5;6;9;5;48.7277896426, 2.27513131903;"{""type"": ""Polygon"", ""coordinates"": [[[2.293929238042677, 48.71212785468337], [2.266836157460963, 48.71827873915958], [2.250559875712411, 48.726209873815364], [2.235449123822614, 48.727562170130774], [2.240999779632666, 48.732931410460424], [2.238024349288764, 48.735565859837095], [2.274517407535147, 48.74072222671912], [2.278410604749655, 48.734539597601014], [2.283447334616667, 48.734129205733595], [2.302100550323498, 48.73940257023005], [2.303837317833271, 48.72949174787578], [2.301738756650032, 48.71967536970686], [2.293929238042677, 48.71212785468337]]]}"
91;91471;Orsay;913;9121;1116;00851;15966;0;1;0;0;6;10;4;1;1;3;10;5;2;2;4;1;0;0;2;3;4;4;1;48.7004093953, 2.18737051177;"{""type"": ""Polygon"", ""coordinates"": [[[2.204707084431246, 48.69106715032146], [2.190173243033867, 48.68732637387467], [2.181827592750015, 48.678913003512584], [2.174850051799166, 48.690693410925824], [2.165981212247245, 48.69476042493666], [2.175163690695225, 48.6957867419333], [2.170751870951656, 48.706658005011704], [2.171682801665039, 48.71480481596169], [2.193479634091989, 48.71869596677259], [2.192794946986926, 48.71198122032623], [2.209710850465963, 48.70158848984277], [2.204707084431246, 48.69106715032146]]]}"
91;91272;Gif-sur-Yvette;913;9130;1116;00851;20654;1;3;1;0;4;6;6;1;1;2;5;2;1;1;1;3;0;0;0;1;3;5;3;48.6988273634, 2.12788365005;"{""type"": ""Polygon"", ""coordinates"": [[[2.121591817423227, 48.68015755615423], [2.113415557047448, 48.67608519350657], [2.104030692105934, 48.67683360089592], [2.103727402409846, 48.683433778658944], [2.11224330567985, 48.691530111881825], [2.097852607663972, 48.694030699529364], [2.097183445404633, 48.70052006317449], [2.110332692821421, 48.714381141190366], [2.123300411404308, 48.715979271458316], [2.127386015320759, 48.70982073351298], [2.142027347229837, 48.706301971705415], [2.152152846292152, 48.7079394754237], [2.155101500254648, 48.71806161892654], [2.171682801665039, 48.71480481596169], [2.170751870951656, 48.706658005011704], [2.160814846228304, 48.705958876805674], [2.145298554815942, 48.697411452011195], [2.145658180144769, 48.687879301747515], [2.141560081331339, 48.68593392205398], [2.121943243236453, 48.683497340448085], [2.121591817423227, 48.68015755615423]]]}"
91;91534;Saclay;913;9103;1116;00851;3241;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;48.7354339366, 2.1663021309;"{""type"": ""Polygon"", ""coordinates"": [[[2.171682801665039, 48.71480481596169], [2.155101500254648, 48.71806161892654], [2.143858238978393, 48.72312651480234], [2.145909728032609, 48.72986030377591], [2.134979897435428, 48.737139276053675], [2.138892810800436, 48.74312203624315], [2.138958105319269, 48.746585440129884], [2.151345550726766, 48.75262854215567], [2.161767485963957, 48.75247729265489], [2.175249479828438, 48.75751815092282], [2.189517467290175, 48.75416195345186], [2.183383666311336, 48.7427870329616], [2.190237830067613, 48.73928984710274], [2.183186252260459, 48.73019318297988], [2.184788032923727, 48.726876094085654], [2.203462249301239, 48.72104768480696], [2.193479634091989, 48.71869596677259], [2.171682801665039, 48.71480481596169]]]}"
